,name,nationality_1,nationality_2,team,jersey,position_1,position_2,archetype,height_feet,height_cm,weight_lbs,weight_kg,wingspan_feet,wingspan_cm,years_in_the_wnba,birthdate,hometown,prior_to_wnba,overall,group_outside_scoring,close_shot,mid_range_shot,three_point_shot,free_throw,shot_iq,offensive_consistency,group_athleticism,speed,agility,strength,vertical,stamina,hustle,overall_durability,group_inside_scoring,layup,standing_dunk,driving_dunk,post_hook,post_fade,post_control,draw_foul,hands,group_playmaking,pass_accuracy,ball_handle,speed_with_ball,pass_iq,pass_vision,group_defense,interior_defense,perimeter_defense,steal,block,help_defense_iq,pass_perception,defensive_consistency,group_rebounding,offensive_rebound,defensive_rebound,intangibles,potential,total_attributes,badge_deadeye,badge_limitless_range,badge_mini_marksman,badge_set_shot_specialist,badge_shifty_shooter,badge_aerial_wizard,badge_float_game,badge_hook_specialist,badge_layup_mixmaster,badge_paint_prodigy,badge_physical_finisher,badge_post_fade_phenom,badge_post_powerhouse,badge_post_up_poet,badge_posterizer,badge_rise_up,badge_ankle_assassin,badge_bail_out,badge_break_starter,badge_dimer,badge_handles_for_days,badge_lightning_launch,badge_strong_handle,badge_unpluckable,badge_versatile_visionary,badge_challenger,badge_glove,badge_high_flying_denier,badge_immovable_enforcer,badge_interceptor,badge_off_ball_pest,badge_on_ball_menace,badge_paint_patroller,badge_pick_dodger,badge_post_lockdown,badge_boxout_beast,badge_rebound_chaser,badge_brick_wall,badge_slippery_off_ball,badge_pogo_stick
109,Shatori Walker-Kimbrough,United States,,Atlanta Dream,32,SG,PG,3 & D Threat,"5'10""",178,140,63,"6'2""",188,8,"May 18, 1995","Aliquippa, Pennsylvania",Maryland,76,76,83,72,80,78,85,60,73,77,74,40,64,90,88,80,46,70,25,25,27,38,42,65,78,71,75,74,77,74,55,67,45,78,76,58,70,75,65,37,32,42,98,74,2409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Skylar Diggins,United States,,Seattle Storm,4,PG,,Inside the Arc Playmaker,"5'9""",175,145,65,"6'0""",183,12,"August 2, 1990","South Bend, Indiana",Notre Dame,86,82,79,79,73,85,80,95,70,93,81,31,67,80,56,80,54,89,25,25,25,60,30,90,88,89,85,91,93,93,83,70,54,76,76,61,75,70,75,39,36,41,75,86,2581,,,,,,,gold,,gold,,gold,,,,,,,bronze,,hof,gold,,gold,gold,gold,,,,,,,,,,,,,,,
111,Sophie Cunningham,United States,,Indiana Fever,8,SF,PF,Shot-Creating 3-Level Threat,"6'1""",185,170,77,"6'5""",196,6,"August 16, 1996","Columbia, Missouri",Missouri,80,81,79,80,86,85,90,65,68,70,68,46,65,75,75,80,52,81,25,25,47,48,46,65,80,66,69,74,68,74,47,54,50,65,48,45,69,60,40,46,36,55,98,79,2358,bronze,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Stefanie Dolson,United States,,Washington Mystics,31,C,PF,Skilled Stretch,"6'5""",196,235,106,"6'9""",206,11,"January 8, 1992","Port Jervis, New York",Connecticut,82,83,81,72,95,77,98,75,73,64,52,89,54,83,88,80,57,69,25,25,62,64,75,40,98,71,68,88,44,88,67,61,68,57,40,65,79,54,65,54,42,66,60,83,2500,gold,gold,,hof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,
113,Sug Sutton,United States,,Washington Mystics,1,PG,SG,Steady Playmaker,"5'8""",173,140,63,"5'11""",180,5,"December 17, 1998","St. Louis, Missouri",North Carolina,70,74,70,75,66,80,85,65,74,77,75,49,74,85,80,80,44,74,25,25,27,41,28,50,80,76,74,78,75,78,73,55,48,64,51,32,67,60,60,37,36,38,50,78,2273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Sydney Colson,United States,,Indiana Fever,51,PG,SG,Steady Playmaker,"5'8""",173,140,63,"5'11""",180,14,"August 6, 1989","Houston, Texas",Texas A&M,73,73,62,80,68,82,88,60,75,80,80,33,75,85,89,80,47,60,25,25,31,46,40,51,95,78,60,85,80,85,78,57,33,76,35,25,75,86,70,36,38,34,60,79,2334,,,,,,,,,,,,,,,,,,,,silver,,,,,,,gold,,,,silver,,,silver,,,,,,
115,Temi Fagbenle,United Kingdom,,Golden State Valkyries,14,C,PF,Versatile Defender,"6'4""",193,179,81,"6'8""",203,,,,USC,77,75,79,65,50,90,98,65,73,64,67,65,67,80,90,80,57,74,25,25,67,59,63,58,82,54,60,64,48,64,34,66,69,68,46,72,73,67,65,71,73,69,98,77,2460,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,silver,gold,,
116,Tiffany Hayes,United States,,Golden State Valkyries,15,SG,PG,2-Way 3-Level Shot Creator,"5'10""",178,155,70,"6'2""",188,13,"September 20, 1989","Fort Polk, Louisiana",Connecticut,81,78,92,76,87,71,70,70,80,88,89,51,73,90,89,80,58,84,25,25,54,59,52,75,93,73,72,71,87,71,62,67,71,84,43,41,85,59,85,45,42,47,70,79,2562,,,bronze,,,,gold,,gold,,,,,,,,bronze,gold,silver,,bronze,gold,,,,silver,,,,,silver,silver,,bronze,,,,,,bronze
117,Tiffany Mitchell,United States,,Seattle Storm,3,SG,PG,Steady Combo Guard,"5'9""",175,169,76,"6'0""",183,9,"September 23, 1994","Charlotte, North Carolina",South Carolina,73,66,65,69,69,78,50,65,79,87,84,47,77,85,95,80,54,79,25,25,44,58,38,70,95,77,86,84,85,84,47,60,52,68,43,30,84,71,75,41,41,41,50,80,2406,,,,,,,,,gold,,,,,,,,,,,,,gold,,,,,,,,bronze,silver,,,,,,,,,
118,Tina Charles,United States,,Connecticut Sun,31,PF,SF,3-Level Scoring Threat,"6'4""",193,192,86,"6'8""",203,15,,,Connecticut,86,83,86,82,74,78,98,80,73,62,49,88,52,85,95,80,68,79,25,25,88,88,88,52,95,53,54,55,42,55,60,65,78,60,43,53,74,77,70,75,66,84,98,83,2601,,,,,,,,,,silver,,,bronze,silver,,,,,,,,,,,,,,,silver,,,,silver,,,silver,silver,silver,,
119,Tyasha Harris,United States,,Dallas Wings,52,PG,SG,Perimeter Threat,"5'10""",178,152,68,"6'2""",188,5,"May 1, 1998","Noblesville, Indiana",South Carolina,80,83,83,77,87,76,98,75,69,80,71,41,68,80,65,80,51,72,25,25,37,32,38,81,98,75,72,80,80,80,65,57,34,64,66,40,60,62,75,34,30,37,98,80,2412,silver,,,gold,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Veronica Burton,United States,,Golden State Valkyries,22,PG,,Steady Playmaker,"5'9""",175,155,70,"6'0""",183,3,"July 12, 2000","Newton, Massachusetts",Northwestern,76,72,70,69,71,84,85,50,82,85,79,69,72,92,95,80,50,78,25,25,30,35,32,79,95,80,80,80,85,80,76,68,42,72,56,55,84,84,85,47,48,45,60,85,2517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,
121,Victoria Vivians,United States,,Seattle Storm,35,SG,SF,Inside-Out Shot Creator,"6'1""",185,183,82,"6'5""",196,7,"November 17, 1994","Jackson, Mississippi",Mississippi State,73,76,84,65,76,86,90,55,72,74,70,60,65,88,70,80,45,82,25,25,27,39,29,60,71,70,78,78,69,78,47,56,51,62,73,45,65,54,40,54,38,70,98,86,2353,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,
122,Zia Cooke,United States,,Washington Mystics,7,SG,SF,Perimeter Defender,"5'9""",175,163,73,"6'0""",183,2,"January 9, 2001","Toledo, Ohio",South Carolina,70,72,53,70,66,75,80,90,79,84,78,57,60,98,95,80,52,75,25,25,43,42,42,83,84,71,65,79,80,79,50,60,38,74,38,58,71,73,70,42,36,48,25,80,2369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
