,name,nationality_1,nationality_2,team,jersey,position_1,position_2,archetype,height_feet,height_cm,weight_lbs,weight_kg,wingspan_feet,wingspan_cm,season_salary,years_in_the_nba,birthdate,hometown,prior_to_nba
292,Kawhi Leonard,United States,,Los Angeles Clippers,2,PF,SF,2-Way Scoring Phenom,"6'7""",201,225,101,"7'3""",221,49205800,14,"June 29, 1991","Los Angeles, California",San Diego State
293,Keaton Wallace,United States,,Atlanta Hawks,20,SG,PG,3 & D Threat,"6'3""",191,195,88,"6'7""",201,,4,"February 26, 1999","Richardson, Texas",Texas-San Antonio
294,Keegan Murray,United States,,Sacramento Kings,13,PF,SF,3-Level Scoring Threat,"6'8""",203,225,101,"6'11""",211,8809560,3,"August 19, 2000","Cedar Rapids, Iowa",Iowa
295,Keita Bates-Diop,United States,,Minnesota Timberwolves,31,PF,SF,Mid-Range Scoring Threat,"6'8""",203,229,103,"7'3""",221,2654644,7,"January 23, 1996","Normal, Illinois",Ohio State
296,Keldon Johnson,United States,,San Antonio Spurs,0,SF,PF,Shot-Creating 3-Level Threat,"6'5""",196,220,99,"6'9""",206,19000000,6,"October 11, 1999","Chesterfield, Virginia",Kentucky
297,Kel’el Ware,United States,,Miami Heat,7,C,PF,Inside-Out Scoring Threat,"7'0""",213,230,104,"7'4""",224,4655040,1,"April 20, 2004","North Little Rock, Arkansas",Indiana
298,Kelly Olynyk,Canada,,Toronto Raptors,41,C,PF,3-Level Scoring Threat,"6'11""",211,240,108,"6'10""",208,12804878,12,"April 19, 1991","Toronto, Canada",Gonzaga
299,Kelly Oubre Jr.,United States,,Philadelphia 76ers,9,SF,SG,Rim Attacker,"6'7""",201,203,91,"7'2""",218,7983000,10,"December 9, 1995","New Orleans, Louisiana",Kansas
300,Kendall Brown,United States,,Indiana Pacers,10,SF,SG,Perimeter Defender,"6'7""",201,205,92,"6'11""",211,2120693,3,"May 11, 2003","Cottage Grove, Minnesota",Baylor
301,Kenneth Lofton Jr.,United States,,Chicago Bulls,34,C,,Inside the Arc Threat,"6'6""",198,275,124,"6'11""",211,,3,"August 14, 2002","Port Arthur, Texas",Louisiana Tech
302,Kenrich Williams,United States,,Oklahoma City Thunder,34,PF,C,Stretch Four,"6'6""",198,210,95,"6'7""",201,6669000,7,"December 2, 1994","Waco, Texas",TCU
303,Kentavious Caldwell-Pope,United States,,Orlando Magic,3,SG,SF,2-Way Sharpshooter,"6'5""",196,204,92,"6'8""",203,22757000,12,"February 18, 1993","Thomaston, Georgia",Georgia
304,Kenyon Martin Jr.,United States,,Philadelphia 76ers,1,PF,SF,Rim Protector,"6'6""",198,215,97,"6'7""",201,7975000,5,"January 6, 2001","Gardena, California",Sierra Canyon High School
305,Keon Ellis,United States,,Sacramento Kings,23,SG,PG,3 & D Two Guard,"6'3""",191,175,79,"6'9""",206,2120693,3,"January 8, 2000","Eustis, Florida",Alabama
306,Keon Johnson,United States,,Brooklyn Nets,45,SG,SF,Inside-Out Threat,"6'3""",191,185,83,"6'7""",201,,4,"September 29, 1995","Shelbyville, Tennessee",Tennessee
307,Kessler Edwards,United States,,Dallas Mavericks,20,SF,PF,3 & D Threat,"6'7""",201,203,91,"6'11""",211,,4,"August 9, 2000","Glendale, California",Pepperdine
308,Kevin Durant,United States,,Phoenix Suns,35,PF,SF,2-Way Scoring Phenom,"6'11""",211,240,108,"7'5""",226,51179021,18,"September 29, 1988","Washington, District of Columbia",Texas
309,Kevin Huerter,United States,,Sacramento Kings,9,SG,SF,Inside-Out Shot Creator,"6'7""",201,198,89,"6'8""",203,16830357,7,"August 27, 1998","Albany, New York",Maryland
310,Kevin Knox II,United States,,Golden State Warriors,6,PF,SF,Skilled Stretch,"6'7""",201,215,97,"7'0""",213,,7,"August 11, 1999","Phoenix, Arizona",Kentucky
311,Kevin Love,United States,,Miami Heat,42,C,PF,Inside-Out Board Hunter,"6'8""",203,245,110,"6'11""",211,3850000,17,"September 7, 1988","Santa Monica, California",UCLA
312,Kevin McCullar,United States,,New York Knicks,9,SG,SF,Perimeter Defender,"6'7""",201,212,95,"6'11""",211,,1,"March 15, 2001","San Antonio, Texas",Kansas
313,Kevin Porter Jr.,United States,,Los Angeles Clippers,77,PG,SG,Balanced Point,"6'4""",193,203,91,"6'9""",206,3237691,6,"May 4, 2000","Seattle, Washington",Southern California
314,Kevon Harris,United States,,Atlanta Hawks,8,SF,SG,Catch & Shoot Threat,"6'5""",196,216,97,"6'9""",206,,5,"June 24, 1997","Ellenwood, Georgia",Stephen F. Austin
315,Kevon Looney,United States,,Golden State Warriors,5,C,,Board-Hunting Lob Threat,"6'9""",206,222,100,"7'4""",224,8000000,10,"February 6, 1996","Milwaukee, Wisconsin",UCLA
316,Keyontae Johnson,United States,,Charlotte Hornets,18,SF,SG,Catch & Shoot Threat,"6'4""",193,230,104,"6'11""",211,,2,"May 24, 2000","Norfolk, Virginia",Kansas State
317,Keyonte George,United States,,Utah Jazz,3,PG,SG,Playmaking Inside-Out Threat,"6'4""",193,185,83,"6'5""",196,4084200,2,"November 8, 2003","Lewisville, Texas",Baylor
318,Khris Middleton,United States,,Milwaukee Bucks,22,SF,PF,2-Way 3-Level Shot Creator,"6'7""",201,222,100,"6'11""",211,31666667,13,"August 12, 1991","Charleston, South Carolina",Texas A&M
319,Killian Hayes,France,,Brooklyn Nets,8,PG,SG,Steady Playmaker,"6'5""",196,195,88,"6'8""",203,,5,"July 27, 2001","Lakeland, Florida",Germany
320,Kira Lewis Jr.,United States,,Washington Wizards,2,PG,,Steady Playmaker,"6'1""",185,170,77,"6'5""",196,,5,"April 6, 2001","Meridianville, Alabama",Alabama Crimson Tide
321,KJ Simpson,United States,,Charlotte Hornets,25,PG,,Perimeter Shot Creator,"6'2""",188,187,84,"6'6""",198,,1,"August 8, 2002","Los Angeles, California",Colorado
322,Klay Thompson,United States,,Dallas Mavericks,31,SG,SF,2-Way Catch & Shoot Ace,"6'6""",198,220,99,"6'9""",206,15873016,14,"February 8, 1990","Los Angeles, California",Washington State
323,Kobe Brown,United States,,Los Angeles Clippers,21,PF,SF,Promising Prospect,"6'7""",201,250,113,"7'1""",216,2533920,2,"January 1, 2000","Huntsville, Alabama",Missouri
324,Kobe Bufkin,United States,,Atlanta Hawks,4,PG,SG,Inside the Arc Shot Creator,"6'5""",196,195,88,"6'8""",203,4299000,2,"September 21, 2003","Grand Rapids, Michigan",Michigan
325,Kris Dunn,United States,,Los Angeles Clippers,18,SG,SF,2-Way Perimeter Shot Creator,"6'3""",191,205,92,"6'10""",208,,9,"March 18, 1994","New London, Connecticut",Providence
326,Kris Murray,United States,,Portland Trail Blazers,24,SF,PF,Perimeter Defender,"6'8""",203,220,99,"7'0""",213,2990040,2,"August 19, 2000","Cedar Rapids, Iowa",Iowa
327,Kristaps Porzingis,Latvia,,Boston Celtics,8,C,PF,2-Way 3-Level Scoring Threat,"7'2""",218,240,108,"7'6""",229,29268293,10,"August 2, 1995","Liepaja, Latvia",Latvia
328,Kyle Anderson,United States,China,Golden State Warriors,1,PF,SF,Mid-Range Shot Creator,"6'9""",206,230,104,"7'3""",221,8780488,11,"September 20, 1993","New York City, New Jersey",UCLA
329,,,,,,,,,,,,,,,,,,,
330,Kyle Kuzma,United States,,Washington Wizards,33,PF,C,Inside-Out Small Ball Four,"6'9""",206,221,99,"7'0""",213,23522727,8,"July 24, 1995","Flint, Michigan",Utah
331,Kyle Lowry,United States,,Philadelphia 76ers,7,PG,SG,3 & D Point,"6'0""",183,196,88,"6'2""",188,2087519,19,"March 25, 1986","Philadelphia, Pennsylvania",Villanova
332,Kyrie Irving,United States,Australia,Dallas Mavericks,11,SG,PG,Offensive Architect,"6'2""",188,195,88,"6'4""",193,41000000,14,"March 23, 1992","Melbourne, Australia",Duke
333,KyShawn George,Switzerland,,Washington Wizards,18,SF,PF,Perimeter Shot Creator,"6'8""",203,196,88,"7'0""",213,2825520,1,"December 12, 2003","Monthey, Switzerland",Miami
334,LaMelo Ball,United States,,Charlotte Hornets,1,PG,SG,3-Level Scoring Playmaker,"6'7""",201,180,81,"6'10""",208,35147000,5,"August 22, 2001","Anaheim, California",Illawarra Hawks (Australia)
335,Larry Nance Jr.,United States,,Atlanta Hawks,22,C,PF,3-Level Scoring Threat,"6'8""",203,245,110,"7'2""",218,11205000,10,"January 1, 1993","Akron, Ohio",Wyoming
336,Lauri Markkanen,Finland,,Utah Jazz,23,SF,PF,3-Level Scoring Threat,"7'0""",213,240,108,"6'11""",211,42176400,8,"May 22, 1997","Vantaa, Finland",Arizona
337,Leaky Black,United States,,Washington Wizards,12,PF,SF,Inside-Out Scoring Threat,"6'6""",198,209,94,"7'0""",213,,2,"June 14, 1999","Concord, North Carolina",North Carolina
338,LeBron James,United States,,Los Angeles Lakers,23,PF,PG,2-Way Inside-Out Point Four,"6'9""",206,250,113,"7'0""",213,48728845,22,"December 30, 1984","Akron, Ohio",St. Vincent–St. Mary High School
339,Leonard Miller,Canada,,Minnesota Timberwolves,33,PF,SF,Interior Threat,"6'10""",208,210,95,"7'2""",218,1891857,2,"November 26, 2003","Ontario, Canada",NBA G League Ignite
340,Lester Quiñones,Dominican Republic,United States,Philadelphia 76ers,25,PG,SG,Catch & Shoot Threat,"6'4""",193,208,94,"6'8""",203,,3,"November 16, 2000","Brentwood, New York",Memphis
341,Lindy Waters III,United States,,Golden State Warriors,43,SG,SF,Catch & Shoot Ace,"6'6""",198,210,95,"6'10""",208,2196970,5,"July 7, 1997","Norman, Oklahoma",Oklahoma State
342,Lonnie Walker IV,United States,,Boston Celtics,12,SG,SF,Inside-Out Shot Creator,"6'4""",193,204,92,"6'11""",211,,7,"December 14, 1998","Reading, Pennsylvania",Miami (FL)
343,Lonzo Ball,United States,,Chicago Bulls,2,PG,,2-Way 3PT Playmaker,"6'6""",198,190,86,"6'9""",206,21395348,8,"October 27, 1997","Anaheim, California",UCLA
344,Luguentz Dort,Canada,,Oklahoma City Thunder,5,SF,PF,2-Way Inside-Out Shot Creator,"6'4""",193,220,99,"6'9""",206,16500000,6,"April 19, 1999","Montreal, Canada",Arizona State
345,Luka Doncic,Slovenia,,Dallas Mavericks,77,PG,SG,Offensive Architect,"6'7""",201,230,104,"6'11""",211,43031940,7,"February 28, 1999","Ljubljana, Slovenia",Slovenia
346,Luka Garza,United States,Bosnia & Herzegovina,Minnesota Timberwolves,55,C,,Rebounder,"6'10""",208,243,109,"7'2""",218,2162606,4,"December 27, 1998","Washington, District of Columbia",Iowa
347,Luke Kennard,United States,,Memphis Grizzlies,10,SG,PG,Perimeter Shot Creator,"6'5""",196,206,93,"6'5""",196,14763636,8,"June 24, 1996","Middletown, Ohio",Duke
348,Luke Kornet,United States,,Boston Celtics,40,C,,Paint Protector,"7'2""",218,250,113,"7'6""",229,2087519,8,"July 15, 1995","Lexington, Texas",Vanderbilt
349,Malachi Flynn,United States,,San Antonio Spurs,8,PG,,3-Level Threat,"6'1""",185,175,79,"6'3""",191,,5,"May 10, 1998","Tacoma, Washington",San Diego State Aztecs
350,Malaki Branham,United States,,San Antonio Spurs,22,SG,PG,Catch & Shoot Threat,"6'4""",193,180,81,"6'8""",203,3217920,3,"May 12, 2003","Columbus, Ohio",Ohio State
351,Malcolm Brogdon,United States,,Washington Wizards,15,PG,SG,3-Level Scoring Playmaker,"6'4""",193,229,103,"6'11""",211,22500000,9,"December 11, 1992","Atlanta, Georgia",Virginia
352,Malcolm Hill,United States,,New Orleans Pelicans,33,PF,SF,Stretch Four,"6'6""",198,220,99,"6'9""",206,,8,"October 26, 1995","St. Louis, Missouri",Illinois
353,Malik Beasley,United States,,Detroit Pistons,5,SG,SF,Shot-Creating 3-Level Threat,"6'4""",193,187,84,"6'7""",201,6000000,9,"November 26, 1996","Atlanta, Georgia",Florida State
354,Malik Monk,United States,,Sacramento Kings,0,SG,,Shot-Creating 3-Level Threat,"6'3""",191,200,90,"6'5""",196,17405203,8,"February 4, 1998","Jonesboro, Arkansas",Kentucky
355,Marcus Sasser,United States,,Detroit Pistons,25,PG,SG,Balanced Point,"6'2""",188,195,88,"6'7""",201,2755080,2,"September 21, 2000","Dallas, Texas",Houston
356,Marcus Smart,United States,,Memphis Grizzlies,36,PG,SG,2-Way Mid-Range Specialist,"6'3""",191,220,99,"6'9""",206,20210284,11,"March 6, 1994","Flower Mound, Texas",Oklahoma State
357,MarJon Beauchamp,United States,,,,SF,SG,Catch & Shoot Ace,"6'7""",201,199,90,"7'1""",216,,,"October 12, 2000","Yakima, Washington",Yakima Valley
358,Mark Williams,United States,,Charlotte Hornets,5,C,,Defensive Anchor,"7'0""",213,240,108,"7'7""",231,4094280,3,"December 16, 2001","Norfolk, Virginia",Duke
359,Markieff Morris,United States,,Dallas Mavericks,88,PF,C,Stretch Four,"6'9""",206,245,110,"6'11""",211,,14,"September 2, 1989","Philadelphia, Pennsylvania",Kansas
360,Marvin Bagley III,United States,,Washington Wizards,35,C,PF,3-Level Scoring Board Hunter,"6'10""",208,235,106,"7'1""",216,12500000,7,"March 14, 1999","Tempe, Arizona",Duke
361,Mason Jones,United States,,Sacramento Kings,8,SG,PG,3 & D Threat,"6'4""",193,200,90,"6'7""",201,,5,"July 21, 1998","Dallas, Texas",Arkansas
362,Mason Plumlee,United States,,Phoenix Suns,22,C,,Board-Hunting Lob Threat,"6'10""",208,254,114,"6'11""",211,2087519,12,"March 5, 1990","Fort Wayne, Indiana",Duke
363,Matas Buzelis,Lithuania,United States,Chicago Bulls,14,SF,PF,Interior Threat,"6'10""",208,209,94,"7'2""",218,5195520,1,"October 13, 2004","Chicago, Illinois",NBA G League Ignite
364,Matisse Thybulle,United States,Australia,Portland Trail Blazers,4,SF,SG,3 & D Wing,"6'5""",196,201,90,"7'0""",213,11025000,6,"March 4, 1997","Scottsdale, Arizona",Washington
365,Matt Ryan,United States,,New Orleans Pelicans,37,SF,SG,Catch & Shoot Ace,"6'6""",198,215,97,"6'10""",208,,5,"April 17, 1997","White Plains, New York",Tennessee-Chattanooga
366,Max Christie,United States,,Los Angeles Lakers,10,SG,SF,3-Level Scoring Threat,"6'5""",196,190,86,"6'9""",206,7142857,3,"February 10, 2003","Arlington Heights, Illinois",Michigan State
367,Max Strus,United States,,Cleveland Cavaliers,1,SF,SG,Catch & Shoot Ace,"6'5""",196,215,97,"6'8""",203,15212068,6,"March 28, 1996","Hickory Hills, Illinois",DePaul
368,Maxi Kleber,Germany,,Dallas Mavericks,42,PF,C,Stretch Four Paint  Protector,"6'10""",208,240,108,"6'11""",211,11000000,11,"January 29, 1992","Wurzburg, Germany",Germany
369,Maxwell Lewis,United States,,Los Angeles Lakers,20,SF,SG,3 & D Threat,"6'7""",201,195,88,"7'0""",213,1891857,2,"July 27, 2002","Las Vegas, Nevada",Pepperdine
370,Micah Potter,United States,,Utah Jazz,25,PF,C,Floor-Spacing Rebounder,"6'9""",206,248,112,"7'1""",216,,4,"April 6, 1998","Mentor, Ohio",Wisconsin
371,Michael Porter Jr.,United States,,Denver Nuggets,1,SF,PF,Score-First Wing,"6'10""",208,218,98,"7'0""",213,35859950,7,"June 29, 1998","Columbia, Missouri",Missouri
372,Mikal Bridges,United States,,New York Knicks,25,SF,SG,3 & D Wing,"6'6""",198,209,94,"7'1""",216,23300000,7,"August 30, 1996","Philadelphia, Pennsylvania",Villanova
373,Mike Conley,United States,,Minnesota Timberwolves,10,PG,,2-Way 3PT Playmaker,"6'0""",183,175,79,"6'6""",198,9975962,18,"October 11, 1987","Fayetteville, Arkansas",Ohio State
374,Miles Bridges,United States,,Charlotte Hornets,0,PF,SF,Slashing Stretch Four,"6'7""",201,225,101,"6'10""",208,27173913,7,"March 21, 1998","Flint, Michigan",Michigan State
375,Miles McBride,United States,,New York Knicks,2,PG,SG,2-Way Sharpshooting Creator,"6'1""",185,195,88,"6'9""",206,4710144,4,"September 8, 2000","Cincinnati, Ohio",West Virginia
376,Mitchell Robinson,United States,,New York Knicks,23,C,,Defensive Anchor,"7'0""",213,240,108,"7'2""",218,14318182,7,"April 1, 1998","Pensacola, Florida",Chalmette HS (LA)
377,Mo Bamba,United States,,Los Angeles Clippers,4,C,,Defensive Anchor,"7'0""",213,231,104,"7'10""",239,2087519,7,"May 12, 1998","New York City, New York",Texas
378,Monte Morris,United States,,Phoenix Suns,23,PG,,Playmaking Sharpshooter,"6'2""",188,183,82,"6'4""",193,2087519,8,"June 27, 1995","Grand Rapids, Michigan",Iowa State
379,Moritz Wagner,Germany,,Orlando Magic,21,C,PF,3-Level Scoring Threat,"6'11""",211,245,110,"7'0""",213,11000000,7,"April 26, 1997","Berlin, Germany",Michigan
380,Moses Moody,United States,,Golden State Warriors,4,SF,SG,2-Way 3-Level Shot Creator,"6'5""",196,211,95,"7'1""",216,5803269,4,"May 31, 2002","Little Rock, Arkansas",Arkansas
381,Mouhamed Gueye,Senegal,,Atlanta Hawks,18,PF,C,Rebounder,"6'10""",208,210,95,"7'3""",221,1891857,2,"November 9, 2002","Dakar, Senegal",Washington State
382,Moussa Diabate,France,,Charlotte Hornets,26,C,PF,Interior Threat,"6'9""",206,210,95,"7'1""",216,,3,"January 21, 2002","Paris, France",Michigan
383,Myles Turner,United States,,Indiana Pacers,33,C,,2-Way 3-Level Scoring Threat,"6'11""",211,250,113,"7'4""",224,19928500,10,"March 24, 1996","Bedford, Texas",Texas
384,Bones Hyland,United States,,Los Angeles Clippers,5,PG,SG,Inside-Out Scoring Threat,"6'2""",188,169,76,"6'9""",206,4158439,4,"September 14, 2000","Wilmington, Delaware",VCU
385,Naji Marshall,United States,,Dallas Mavericks,13,PF,SF,Shot-Creating 3-Level Threat,"6'6""",198,220,99,"7'1""",216,8571429,5,"June 24, 1998","Atlantic City, New Jersey",Xavier
386,Nate Hinton,United States,,Houston Rockets,16,SG,,Catch & Shoot Threat,"6'5""",196,210,95,"6'7""",201,,5,"June 8, 1999","Gastonia, North Carolina",Houston
387,Naz Reid,United States,,Minnesota Timberwolves,11,C,PF,2-Way 3-Level Scoring Threat,"6'9""",206,264,119,"7'3""",221,13986432,6,"August 26, 1999","Asbury Park, New Jersey",LSU
388,Neemias Queta,Portugal,,Boston Celtics,88,C,,Board-Hunting Paint Protector,"7'0""",213,248,112,"7'4""",224,2162606,4,"July 13, 1999","Lisbon, Portugal",Utah State
389,Nick Richards,Jamaica,,Charlotte Hornets,4,C,,Board-Hunting Lob Threat,"7'0""",213,245,110,"7'2""",218,5000000,5,"November 29, 1997","Kingston, Jamaica",Kentucky
390,Nick Smith Jr.,United States,,Charlotte Hornets,8,PG,SG,Inside-Out Scoring Threat,"6'2""",188,185,83,"6'8""",203,2587200,2,"April 18, 2004","Jacksonville, Arkansas",Arkansas
391,Nickeil Alexander-Walker,Canada,,Minnesota Timberwolves,9,SG,SF,2-Way 3-Level Shot Creator,"6'5""",196,205,92,"6'10""",208,4312500,6,"September 2, 1998","Toronto, Canada",Virginia Tech
392,Nicolas Batum,France,,Los Angeles Clippers,33,PF,SF,Stretch Four,"6'8""",203,230,104,"7'1""",216,4668000,17,"December 14, 1988","Lisieux, France","Le Mans (Pro A, France)"
393,Nic Claxton,United States,U.S. Virgin Islands,Brooklyn Nets,33,C,,2-Way Inside-The-Arc Threat,"6'11""",211,215,97,"7'3""",221,27556817,6,"April 17, 1999","Greenville, South Carolina",Georgia
394,Nikola Jokic,Serbia,,Denver Nuggets,15,C,,2-Way 3-Level Point Center,"6'11""",211,284,128,"7'3""",221,51415938,11,"February 19, 1995","Sombor, Serbia",Serbia
395,Nikola Jovic,Serbia,,Miami Heat,5,PF,C,Inside-Out Scoring Threat,"6'10""",208,240,108,"7'0""",213,2464200,3,"June 9, 2003","Leicester, England",Serbia
396,Nikola Topic,Serbia,,Oklahoma City Thunder,44,PG,SG,Rim Attacker,"6'7""",201,200,90,"6'11""",211,4935960,1,"August 10, 2005","Novi Sad, Serbia","Crvena zvezda (KLS, Serbia)"
397,Nikola Vucevic,Montenegro,,Chicago Bulls,9,C,,Inside The Arc Board Hunter,"6'10""",208,260,117,"7'5""",226,20000000,14,"October 24, 1990","Morges, Switzerland",Southern California
398,Noah Clowney,United States,,Brooklyn Nets,21,C,PF,Inside-Out Scoring Threat,"6'10""",208,210,95,"7'2""",218,3244080,2,"July 14, 2004","Spartanburg, South Carolina",Alabama
399,Norman Powell,United States,,Los Angeles Clippers,24,SG,SF,Shot-Creating 3-Level Threat,"6'4""",193,215,97,"6'11""",211,19241379,10,"May 25, 1993","San Diego, California",UCLA
400,Obi Toppin,United States,,Indiana Pacers,1,PF,,Inside-Out Scorer,"6'9""",206,220,99,"7'2""",218,12975000,5,"March 4, 1998","Brooklyn, New York",Dayton Flyers
401,Ochai Agbaji,United States,,Toronto Raptors,30,PF,SF,2-Way Inside-the-Arc Creator,"6'5""",196,215,97,"6'10""",208,4310280,3,"April 20, 2000","Milwaukee, Wisconsin",Kansas
402,OG Anunoby,United Kingdom,,New York Knicks,8,SF,PF,2-Way 3-Level Shot Creator,"6'7""",201,232,104,"7'2""",218,36637932,8,"July 17, 1997","London, England",Indiana
403,Olivier-Maxence Prosper,Canada,,Dallas Mavericks,18,PF,SF,Interior Threat,"6'7""",201,230,104,"7'1""",216,2870400,2,"July 3, 2002","Montreal, Quebec",Marquette
404,Onuralp Bitim,Turkey,,Chicago Bulls,17,SF,SG,Catch & Shoot Threat,"6'6""",198,215,97,"6'8""",203,1891857,4,"March 31, 1999","Kadıköy, Turkey",Turkey
405,Onyeka Okongwu,United States,,Atlanta Hawks,17,C,,3-Level Scoring Paint Beast,"6'10""",208,240,108,"7'2""",218,14000000,5,"December 11, 2000","Los Angeles, California",USC
406,Orlando Robinson,United States,,Sacramento Kings,77,C,,Stretch Five,"6'10""",208,245,110,"7'4""",224,,3,"July 10, 2000","York, Maine",Fresno State
407,Oscar Tshiebwe,Congo,,Utah Jazz,44,C,PF,Board-Hunting Paint Protector,"6'8""",203,255,115,"7'4""",224,,2,"November 27, 1999","Lubumbashi, Democratic Republic of the Congo",Kentucky
408,Oso Ighodaro,United States,,Phoenix Suns,4,PF,C,Interior Threat,"6'11""",211,225,101,"7'3""",221,,1,"July 14, 2002","Chandler, Arizona",Marquette
409,Ousmane Dieng,France,,Oklahoma City Thunder,13,PF,SF,Promising Prospect,"6'9""",206,185,83,"7'1""",216,5027040,3,"May 21, 2003","Villeneuve-sur-Lot, France",France
410,Pacome Dadiet,France,,New York Knicks,35,SF,PF,Perimeter Shot Creator,"6'8""",203,210,95,"7'0""",213,1808080,1,"July 27, 2005","Aubagne, France","Ratiopharm Ulm (BBL, Germany)"
411,Paolo Banchero,United States,Italy,Orlando Magic,5,PF,SF,Shot-Creating 3-Level Threat,"6'10""",208,250,113,"7'1""",216,12160800,3,"November 12, 2002","Seattle, Washington",Duke
412,Pascal Siakam,Cameroon,,Indiana Pacers,43,PF,C,2-Way 3-Level Shot Creator,"6'8""",203,230,104,"7'3""",221,42176400,9,"April 2, 1994","Douala, Cameroon",New Mexico State
413,Pat Connaughton,United States,,Milwaukee Bucks,24,SG,SF,Inside-Out Shot Creator,"6'5""",196,209,94,"6'9""",206,9423869,10,"January 6, 1993","Arlington, Massachusetts",Notre Dame
414,Pat Spencer,United States,,Golden State Warriors,61,PG,SG,Perimeter Threat,"6'3""",191,205,92,"6'7""",201,,3,"July 4, 1996","North Wales, Pennsylvania",Northwestern
415,Patrick Baldwin Jr.,United States,,Washington Wizards,7,PF,SF,Stretch Four,"6'9""",206,220,99,"7'1""",216,2448840,3,"November 18, 2002","Green Bay, Wisconsin",Wisconsin–Milwaukee
416,Patrick Williams,United States,,Chicago Bulls,44,PF,,Stretch Four,"6'7""",201,215,97,"6'11""",211,18000000,5,"August 26, 2001","Charlotte, North Carolina",Florida State
417,Patty Mills,Australia,,Utah Jazz,88,PG,SG,Mid-Range Shot Creator,"6'2""",188,180,81,"6'2""",188,,16,"August 11, 1988","Canberra, Australia",Saint Mary's
418,Paul George,United States,,Philadelphia 76ers,8,SF,PF,2-Way Scoring Phenom,"6'8""",203,220,99,"6'11""",211,49205800,15,"May 2, 1990","Palmdale, California",Fresno State
419,Paul Reed,United States,,Detroit Pistons,7,C,PF,3-Level Scoring Board Hunter,"6'9""",206,210,95,"7'2""",218,7723000,5,"June 14, 1999","Orlando, Florida",DePaul
420,Payton Pritchard,United States,,Boston Celtics,11,PG,,Sharpshooter,"6'1""",185,195,88,"6'4""",193,6696429,5,"January 28, 1998","Tualatin, Oregon",Oregon Ducks
421,Pelle Larsson,Sweden,,Miami Heat,9,SG,SF,Catch & Shoot Threat,"6'5""",196,215,97,"6'9""",206,,1,"February 23, 2001","Nacka, Sweden",Arizona
422,Pete Nance,United States,,Cleveland Cavaliers,8,PF,C,Rebounder,"6'10""",208,230,104,"7'2""",218,,2,"February 19, 2000","Akron, Ohio",North Carolina
423,Peyton Watson,United States,,Denver Nuggets,8,PF,SF,Rim Protector,"6'7""",201,200,90,"6'11""",211,2413560,3,"September 11, 2002","Beverly Hills, California",UCLA
424,P.J. Dozier,United States,,Minnesota Timberwolves,35,SF,SG,Perimeter Defender,"6'6""",198,205,92,"6'11""",211,2087519,8,"October 25, 1996","Columbia, South Carolina",South Carolina
425,P.J. Tucker,United States,,Los Angeles Clippers,17,PF,C,2-Way Stretch Four,"6'5""",196,245,110,"6'11""",211,11539000,19,"May 5, 1985","Raleigh, North Carolina",Texas
426,P.J. Washington,United States,,Dallas Mavericks,25,PF,C,3-Level Scoring Threat,"6'7""",201,230,104,"7'3""",221,15500000,6,"August 23, 1998","Louisville, Kentucky",Kentucky
427,Precious Achiuwa,Nigeria,,New York Knicks,5,PF,C,Defensive Anchor,"6'8""",203,225,101,"7'1""",216,,5,"September 19, 1999","Port Harcourt, Nigeria",Memphis
428,Quentin Grimes,United States,,Dallas Mavericks,5,SG,SF,3 & D Two Guard,"6'5""",196,210,95,"6'8""",203,4296682,4,"May 8, 2000","Houston, Texas",Kansas
429,Quenton Jackson,United States,,Indiana Pacers,29,SG,PG,Rim Attacker,"6'5""",196,173,78,"6'9""",206,,3,"September 15, 1998","Los Angeles, California",Texas
430,Rayan Rupert,France,,Portland Trail Blazers,21,SG,SF,3 & D Threat,"6'6""",198,185,83,"7'2""",218,1891857,2,"May 31, 2004","Strasbourg, France",New Zealand Breakers
431,Reed Sheppard,United States,,Houston Rockets,15,PG,SG,3 & D Point,"6'3""",191,180,81,"6'7""",201,10098960,1,"June 24, 2004","London, Kentucky",Kentucky
432,Reggie Jackson,United States,,Philadelphia 76ers,00,PG,SG,Perimeter Shot Creator,"6'2""",188,208,94,"7'0""",213,2087519,14,"April 16, 1990","Pordenone, Italy",Boston College
433,Richaun Holmes,United States,,Washington Wizards,22,C,,Board-Hunting Lob Threat,"6'8""",203,235,106,"7'2""",218,12648321,10,"October 15, 1993","Lockport, Illinois",Bowling Green
434,Ricky Council IV,United States,,Philadelphia 76ers,14,SF,SG,Catch & Shoot Threat,"6'6""",198,207,93,"6'9""",206,1891857,2,"August 3, 2001","Durham, North Carolina",Arkansas
435,R.J. Barrett,Canada,,Toronto Raptors,9,SF,SG,2-Way Inside-Out Slasher,"6'6""",198,214,96,"6'10""",208,25794643,6,"July 14, 2000","Toronto, Canada",Duke
436,Rob Dillingham,United States,,Minnesota Timberwolves,4,PG,SG,Shot-Creating Perimeter Threat,"6'2""",188,160,72,"6'6""",198,6262920,1,"January 4, 2005","Hickory, North Carolina",Kentucky
437,Robert Williams III,United States,,Portland Trail Blazers,35,C,PF,Paint Beast,"6'9""",206,237,107,"7'6""",229,12428571,7,"October 17, 1997","Shreveport, Louisiana",Texas A&M
438,Ronald Holland II,United States,,Detroit Pistons,00,SF,PF,Rim Attacker,"6'8""",203,206,93,"7'0""",213,8245320,1,"July 7, 2005","Duncanville, Texas",NBA G League Ignite
